船舶编号,港口五位码,船舶载重吨(DWT),港口最大靠泊能力(DWT),是否可停靠
9857542,CNZUH,318000,400000,是
9857542,CNJYG,318000,350000,是
9857542,CNMMI,318000,300000,否
9857542,CNCHA,318000,400000,是
9857542,CNSTG,318000,350000,是
9857542,CNYJI,318000,300000,否
9857542,CNQYI,318000,400000,是
9857542,CNSHA,318000,350000,是
9857542,CNMEZ,318000,300000,否
9857542,CNHEY,318000,400000,是
9857542,CNSWE,318000,350000,是
9857542,CNLZB,318000,500000,是
9857542,CNGZP,318000,550000,是
9857542,KRINC,318000,400000,是
9857542,KRBUS,318000,500000,是
9857542,MYTPP,318000,450000,是
9857542,THLCH,318000,400000,是
9857542,VNSGN,318000,350000,是
9857542,IDJKT,318000,400000,是
9857542,PHMNL,318000,350000,是
9857542,INMUM,318000,450000,是
9857542,INCHN,318000,300000,否
9857542,AEJEA,318000,500000,是
9857542,ESBCN,318000,350000,是
9857542,GBFXT,318000,400000,是
9857542,BEANR,318000,500000,是
9857542,FRMRS,318000,350000,是
9857542,ITNAP,318000,300000,否
9857542,USORF,318000,350000,是
9857542,USHOU,318000,500000,是
9857542,CAVAN,318000,350000,是
9857542,MXVER,318000,300000,否
9857542,BRSSZ,318000,400000,是
9857542,CLVAP,318000,350000,是
9857542,ZADUR,318000,400000,是
9741256,CNSHA,148500,500000,是
9741256,HKHKG,148500,400000,是
9741256,JPYOK,148500,350000,是
9741256,NLRTM,148500,600000,是
9741256,USNYC,148500,450000,是
9741256,CNNGB,148500,500000,是
9741256,SGSIN,148500,650000,是
9741256,DEHAM,148500,350000,是
9741256,AUMEL,148500,300000,是
9741256,FRLHR,148500,350000,是
9741256,CNTAO,148500,500000,是
9741256,ITGOA,148500,400000,是
9741256,USLGB,148500,450000,是
9741256,JPUKB,148500,350000,是
9741256,CNXMN,148500,400000,是
9741256,AUBNE,148500,300000,是
9741256,CNFOC,148500,350000,是
9741256,USSEA,148500,300000,是
9741256,CNQHD,148500,400000,是
9741256,CNDLC,148500,500000,是
9741256,CNLYG,148500,350000,是
9741256,CNBHY,148500,300000,是
9741256,CNZOS,148500,400000,是
9741256,CNTSN,148500,500000,是
9741256,CNHUI,148500,350000,是
9741256,CNZHA,148500,300000,是
9741256,CNZUH,148500,400000,是
9741256,CNJYG,148500,350000,是
9741256,CNMMI,148500,300000,是
9741256,CNCHA,148500,400000,是
9741256,CNSTG,148500,350000,是
9741256,CNYJI,148500,300000,是
9741256,CNQYI,148500,400000,是
9741256,CNSHA,148500,350000,是
9741256,CNMEZ,148500,300000,是
9741256,CNHEY,148500,400000,是
9741256,CNSWE,148500,350000,是
9741256,CNLZB,148500,500000,是
9741256,CNGZP,148500,550000,是
9741256,KRINC,148500,400000,是
9741256,KRBUS,148500,500000,是
9741256,MYTPP,148500,450000,是
9741256,THLCH,148500,400000,是
9741256,VNSGN,148500,350000,是
9741256,IDJKT,148500,400000,是
9741256,PHMNL,148500,350000,是
9741256,INMUM,148500,450000,是
9741256,INCHN,148500,300000,是
9741256,AEJEA,148500,500000,是
9741256,ESBCN,148500,350000,是
9741256,GBFXT,148500,400000,是
9741256,BEANR,148500,500000,是
9741256,FRMRS,148500,350000,是
9741256,ITNAP,148500,300000,是
9741256,USORF,148500,350000,是
9741256,USHOU,148500,500000,是
9741256,CAVAN,148500,350000,是
9741256,MXVER,148500,300000,是
9741256,BRSSZ,148500,400000,是
9741256,CLVAP,148500,350000,是
9741256,ZADUR,148500,400000,是
9863254,CNSHA,299000,500000,是
9863254,HKHKG,299000,400000,是
9863254,JPYOK,299000,350000,是
9863254,NLRTM,299000,600000,是
9863254,USNYC,299000,450000,是
9863254,CNNGB,299000,500000,是
9863254,SGSIN,299000,650000,是
9863254,DEHAM,299000,350000,是
9863254,AUMEL,299000,300000,是
9863254,FRLHR,299000,350000,是
9863254,CNTAO,299000,500000,是
9863254,ITGOA,299000,400000,是
9863254,USLGB,299000,450000,是
9863254,JPUKB,299000,350000,是
9863254,CNXMN,299000,400000,是
9863254,AUBNE,299000,300000,是
9863254,CNFOC,299000,350000,是
9863254,USSEA,299000,300000,是
9863254,CNQHD,299000,400000,是
9863254,CNDLC,299000,500000,是
9863254,CNLYG,299000,350000,是
9863254,CNBHY,299000,300000,是
9863254,CNZOS,299000,400000,是
9863254,CNTSN,299000,500000,是
9863254,CNHUI,299000,350000,是
9863254,CNZHA,299000,300000,是
9863254,CNZUH,299000,400000,是
9863254,CNJYG,299000,350000,是
9863254,CNMMI,299000,300000,是
9863254,CNCHA,299000,400000,是
9863254,CNSTG,299000,350000,是
9863254,CNYJI,299000,300000,是
9863254,CNQYI,299000,400000,是
9863254,CNSHA,299000,350000,是
9863254,CNMEZ,299000,300000,是
9863254,CNHEY,299000,400000,是
9863254,CNSWE,299000,350000,是
9863254,CNLZB,299000,500000,是
9863254,CNGZP,299000,550000,是
9863254,KRINC,299000,400000,是
9863254,KRBUS,299000,500000,是
9863254,MYTPP,299000,450000,是
9863254,THLCH,299000,400000,是
9863254,VNSGN,299000,350000,是
9863254,IDJKT,299000,400000,是
9863254,PHMNL,299000,350000,是
9863254,INMUM,299000,450000,是
9863254,INCHN,299000,300000,是
9863254,AEJEA,299000,500000,是
9863254,ESBCN,299000,350000,是
9863254,GBFXT,299000,400000,是
9863254,BEANR,299000,500000,是
9863254,FRMRS,299000,350000,是
9863254,ITNAP,299000,300000,是
9863254,USORF,299000,350000,是
9863254,USHOU,299000,500000,是
9863254,CAVAN,299000,350000,是
9863254,MXVER,299000,300000,是
9863254,BRSSZ,299000,400000,是
9863254,CLVAP,299000,350000,是
9863254,ZADUR,299000,400000,是
9723658,CNSHA,180000,500000,是
9723658,HKHKG,180000,400000,是
9723658,JPYOK,180000,350000,是
9723658,NLRTM,180000,600000,是
9723658,USNYC,180000,450000,是
9723658,CNNGB,180000,500000,是
9723658,SGSIN,180000,650000,是
9723658,DEHAM,180000,350000,是
9723658,AUMEL,180000,300000,是
9723658,FRLHR,180000,350000,是
9723658,CNTAO,180000,500000,是
9723658,ITGOA,180000,400000,是
9723658,USLGB,180000,450000,是
9723658,JPUKB,180000,350000,是
9723658,CNXMN,180000,400000,是
9723658,AUBNE,180000,300000,是
9723658,CNFOC,180000,350000,是
9723658,USSEA,180000,300000,是
9723658,CNQHD,180000,400000,是
9723658,CNDLC,180000,500000,是
9723658,CNLYG,180000,350000,是
9723658,CNBHY,180000,300000,是
9723658,CNZOS,180000,400000,是
9723658,CNTSN,180000,500000,是
9723658,CNHUI,180000,350000,是
9723658,CNZHA,180000,300000,是
9723658,CNZUH,180000,400000,是
9723658,CNJYG,180000,350000,是
9723658,CNMMI,180000,300000,是
9723658,CNCHA,180000,400000,是
9723658,CNSTG,180000,350000,是
9723658,CNYJI,180000,300000,是
9723658,CNQYI,180000,400000,是
9723658,CNSHA,180000,350000,是
9723658,CNMEZ,180000,300000,是
9723658,CNHEY,180000,400000,是
9723658,CNSWE,180000,350000,是
9723658,CNLZB,180000,500000,是
9723658,CNGZP,180000,550000,是
9723658,KRINC,180000,400000,是
9723658,KRBUS,180000,500000,是
9723658,MYTPP,180000,450000,是
9723658,THLCH,180000,400000,是
9723658,VNSGN,180000,350000,是
9723658,IDJKT,180000,400000,是
9723658,PHMNL,180000,350000,是
9723658,INMUM,180000,450000,是
9723658,INCHN,180000,300000,是
9723658,AEJEA,180000,500000,是
9723658,ESBCN,180000,350000,是
9723658,GBFXT,180000,400000,是
9723658,BEANR,180000,500000,是
9723658,FRMRS,180000,350000,是
9723658,ITNAP,180000,300000,是
9723658,USORF,180000,350000,是
9723658,USHOU,180000,500000,是
9723658,CAVAN,180000,350000,是
9723658,MXVER,180000,300000,是
9723658,BRSSZ,180000,400000,是
9723658,CLVAP,180000,350000,是
9723658,ZADUR,180000,400000,是
9896321,CNSHA,145000,500000,是
9896321,HKHKG,145000,400000,是
9896321,JPYOK,145000,350000,是
9896321,NLRTM,145000,600000,是
9896321,USNYC,145000,450000,是
9896321,CNNGB,145000,500000,是
9896321,SGSIN,145000,650000,是
9896321,DEHAM,145000,350000,是
9896321,AUMEL,145000,300000,是
9896321,FRLHR,145000,350000,是
9896321,CNTAO,145000,500000,是
9896321,ITGOA,145000,400000,是
9896321,USLGB,145000,450000,是
9896321,JPUKB,145000,350000,是
9896321,CNXMN,145000,400000,是
9896321,AUBNE,145000,300000,是
9896321,CNFOC,145000,350000,是
9896321,USSEA,145000,300000,是
9896321,CNQHD,145000,400000,是
9896321,CNDLC,145000,500000,是
9896321,CNLYG,145000,350000,是
9896321,CNBHY,145000,300000,是
9896321,CNZOS,145000,400000,是
9896321,CNTSN,145000,500000,是
9896321,CNHUI,145000,350000,是
9896321,CNZHA,145000,300000,是
9896321,CNZUH,145000,400000,是
9896321,CNJYG,145000,350000,是
9896321,CNMMI,145000,300000,是
9896321,CNCHA,145000,400000,是
9896321,CNSTG,145000,350000,是
9896321,CNYJI,145000,300000,是
9896321,CNQYI,145000,400000,是
9896321,CNSHA,145000,350000,是
9896321,CNMEZ,145000,300000,是
9896321,CNHEY,145000,400000,是
9896321,CNSWE,145000,350000,是
9896321,CNLZB,145000,500000,是
9896321,CNGZP,145000,550000,是
9896321,KRINC,145000,400000,是
9896321,KRBUS,145000,500000,是
9896321,MYTPP,145000,450000,是
9896321,THLCH,145000,400000,是
9896321,VNSGN,145000,350000,是
9896321,IDJKT,145000,400000,是
9896321,PHMNL,145000,350000,是
9896321,INMUM,145000,450000,是
9896321,INCHN,145000,300000,是
9896321,AEJEA,145000,500000,是
9896321,ESBCN,145000,350000,是
9896321,GBFXT,145000,400000,是
9896321,BEANR,145000,500000,是
9896321,FRMRS,145000,350000,是
9896321,ITNAP,145000,300000,是
9896321,USORF,145000,350000,是
9896321,USHOU,145000,500000,是
9896321,CAVAN,145000,350000,是
9896321,MXVER,145000,300000,是
9896321,BRSSZ,145000,400000,是
9896321,CLVAP,145000,350000,是
9896321,ZADUR,145000,400000,是
9754896,CNSHA,162000,500000,是
9754896,HKHKG,162000,400000,是
9754896,JPYOK,162000,350000,是
9754896,NLRTM,162000,600000,是
9754896,USNYC,162000,450000,是
9754896,CNNGB,162000,500000,是
9754896,SGSIN,162000,650000,是
9754896,DEHAM,162000,350000,是
9754896,AUMEL,162000,300000,是
9754896,FRLHR,162000,350000,是
9754896,CNTAO,162000,500000,是
9754896,ITGOA,162000,400000,是
9754896,USLGB,162000,450000,是
9754896,JPUKB,162000,350000,是
9754896,CNXMN,162000,400000,是
9754896,AUBNE,162000,300000,是
9754896,CNFOC,162000,350000,是
9754896,USSEA,162000,300000,是
9754896,CNQHD,162000,400000,是
9754896,CNDLC,162000,500000,是
9754896,CNLYG,162000,350000,是
9754896,CNBHY,162000,300000,是
9754896,CNZOS,162000,400000,是
9754896,CNTSN,162000,500000,是
9754896,CNHUI,162000,350000,是
9754896,CNZHA,162000,300000,是
9754896,CNZUH,162000,400000,是
9754896,CNJYG,162000,350000,是
9754896,CNMMI,162000,300000,是
9754896,CNCHA,162000,400000,是
9754896,CNSTG,162000,350000,是
9754896,CNYJI,162000,300000,是
9754896,CNQYI,162000,400000,是
9754896,CNSHA,162000,350000,是
9754896,CNMEZ,162000,300000,是
9754896,CNHEY,162000,400000,是
9754896,CNSWE,162000,350000,是
9754896,CNLZB,162000,500000,是
9754896,CNGZP,162000,550000,是
9754896,KRINC,162000,400000,是
9754896,KRBUS,162000,500000,是
9754896,MYTPP,162000,450000,是
9754896,THLCH,162000,400000,是
9754896,VNSGN,162000,350000,是
9754896,IDJKT,162000,400000,是
9754896,PHMNL,162000,350000,是
9754896,INMUM,162000,450000,是
9754896,INCHN,162000,300000,是
9754896,AEJEA,162000,500000,是
9754896,ESBCN,162000,350000,是
9754896,GBFXT,162000,400000,是
9754896,BEANR,162000,500000,是
9754896,FRMRS,162000,350000,是
9754896,ITNAP,162000,300000,是
9754896,USORF,162000,350000,是
9754896,USHOU,162000,500000,是
9754896,CAVAN,162000,350000,是
9754896,MXVER,162000,300000,是
9754896,BRSSZ,162000,400000,是
9754896,CLVAP,162000,350000,是
9754896,ZADUR,162000,400000,是
9832147,CNSHA,305000,500000,是
9832147,HKHKG,305000,400000,是
9832147,JPYOK,305000,350000,是
9832147,NLRTM,305000,600000,是
9832147,USNYC,305000,450000,是
9832147,CNNGB,305000,500000,是
9832147,SGSIN,305000,650000,是
9832147,DEHAM,305000,350000,是
9832147,AUMEL,305000,300000,否
9832147,FRLHR,305000,350000,是
9832147,CNTAO,305000,500000,是
9832147,ITGOA,305000,400000,是
9832147,USLGB,305000,450000,是
9832147,JPUKB,305000,350000,是
9832147,CNXMN,305000,400000,是
9832147,AUBNE,305000,300000,否
9832147,CNFOC,305000,350000,是
9832147,USSEA,305000,300000,否
9832147,CNQHD,305000,400000,是
9832147,CNDLC,305000,500000,是
9832147,CNLYG,305000,350000,是
9832147,CNBHY,305000,300000,否
9832147,CNZOS,305000,400000,是
9832147,CNTSN,305000,500000,是
9832147,CNHUI,305000,350000,是
9832147,CNZHA,305000,300000,否
9832147,CNZUH,305000,400000,是
9832147,CNJYG,305000,350000,是
9832147,CNMMI,305000,300000,否
9832147,CNCHA,305000,400000,是
9832147,CNSTG,305000,350000,是
9832147,CNYJI,305000,300000,否
9832147,CNQYI,305000,400000,是
9832147,CNSHA,305000,350000,是
9832147,CNMEZ,305000,300000,否
9832147,CNHEY,305000,400000,是
9832147,CNSWE,305000,350000,是
9832147,CNLZB,305000,500000,是
9832147,CNGZP,305000,550000,是
9832147,KRINC,305000,400000,是
9832147,KRBUS,305000,500000,是
9832147,MYTPP,305000,450000,是
9832147,THLCH,305000,400000,是
9832147,VNSGN,305000,350000,是
9832147,IDJKT,305000,400000,是
9832147,PHMNL,305000,350000,是
9832147,INMUM,305000,450000,是
9832147,INCHN,305000,300000,否
9832147,AEJEA,305000,500000,是
9832147,ESBCN,305000,350000,是
9832147,GBFXT,305000,400000,是
9832147,BEANR,305000,500000,是
9832147,FRMRS,305000,350000,是
9832147,ITNAP,305000,300000,否
9832147,USORF,305000,350000,是
9832147,USHOU,305000,500000,是
9832147,CAVAN,305000,350000,是
9832147,MXVER,305000,300000,否
9832147,BRSSZ,305000,400000,是
9832147,CLVAP,305000,350000,是
9832147,ZADUR,305000,400000,是
9715984,CNSHA,195000,500000,是
9715984,HKHKG,195000,400000,是
9715984,JPYOK,195000,350000,是
9715984,NLRTM,195000,600000,是
9715984,USNYC,195000,450000,是
9715984,CNNGB,195000,500000,是
9715984,SGSIN,195000,650000,是
9715984,DEHAM,195000,350000,是
9715984,AUMEL,195000,300000,是
9715984,FRLHR,195000,350000,是
9715984,CNTAO,195000,500000,是
9715984,ITGOA,195000,400000,是
9715984,USLGB,195000,450000,是
9715984,JPUKB,195000,350000,是
9715984,CNXMN,195000,400000,是
9715984,AUBNE,195000,300000,是
9715984,CNFOC,195000,350000,是
9715984,USSEA,195000,300000,是
9715984,CNQHD,195000,400000,是
9715984,CNDLC,195000,500000,是
9715984,CNLYG,195000,350000,是
9715984,CNBHY,195000,300000,是
9715984,CNZOS,195000,400000,是
9715984,CNTSN,195000,500000,是
9715984,CNHUI,195000,350000,是
9715984,CNZHA,195000,300000,是
9715984,CNZUH,195000,400000,是
9715984,CNJYG,195000,350000,是
9715984,CNMMI,195000,300000,是
9715984,CNCHA,195000,400000,是
9715984,CNSTG,195000,350000,是
9715984,CNYJI,195000,300000,是
9715984,CNQYI,195000,400000,是
9715984,CNSHA,195000,350000,是
9715984,CNMEZ,195000,300000,是
9715984,CNHEY,195000,400000,是
9715984,CNSWE,195000,350000,是
9715984,CNLZB,195000,500000,是
9715984,CNGZP,195000,550000,是
9715984,KRINC,195000,400000,是
9715984,KRBUS,195000,500000,是
9715984,MYTPP,195000,450000,是
9715984,THLCH,195000,400000,是
9715984,VNSGN,195000,350000,是
9715984,IDJKT,195000,400000,是
9715984,PHMNL,195000,350000,是
9715984,INMUM,195000,450000,是
9715984,INCHN,195000,300000,是
9715984,AEJEA,195000,500000,是
9715984,ESBCN,195000,350000,是
9715984,GBFXT,195000,400000,是
9715984,BEANR,195000,500000,是
9715984,FRMRS,195000,350000,是
9715984,ITNAP,195000,300000,是
9715984,USORF,195000,350000,是
9715984,USHOU,195000,500000,是
9715984,CAVAN,195000,350000,是
9715984,MXVER,195000,300000,是
9715984,BRSSZ,195000,400000,是
9715984,CLVAP,195000,350000,是
9715984,ZADUR,195000,400000,是
9874523,CNSHA,120000,500000,是
9874523,HKHKG,120000,400000,是
9874523,JPYOK,120000,350000,是
9874523,NLRTM,120000,600000,是
9874523,USNYC,120000,450000,是
9874523,CNNGB,120000,500000,是
9874523,SGSIN,120000,650000,是
9874523,DEHAM,120000,350000,是
9874523,AUMEL,120000,300000,是
9874523,FRLHR,120000,350000,是
9874523,CNTAO,120000,500000,是
9874523,ITGOA,120000,400000,是
9874523,USLGB,120000,450000,是
9874523,JPUKB,120000,350000,是
9874523,CNXMN,120000,400000,是
9874523,AUBNE,120000,300000,是
9874523,CNFOC,120000,350000,是
9874523,USSEA,120000,300000,是
9874523,CNQHD,120000,400000,是
9874523,CNDLC,120000,500000,是
9874523,CNLYG,120000,350000,是
9874523,CNBHY,120000,300000,是
9874523,CNZOS,120000,400000,是
9874523,CNTSN,120000,500000,是
9874523,CNHUI,120000,350000,是
9874523,CNZHA,120000,300000,是
9874523,CNZUH,120000,400000,是
9874523,CNJYG,120000,350000,是
9874523,CNMMI,120000,300000,是
9874523,CNCHA,120000,400000,是
9874523,CNSTG,120000,350000,是
9874523,CNYJI,120000,300000,是
9874523,CNQYI,120000,400000,是
9874523,CNSHA,120000,350000,是
9874523,CNMEZ,120000,300000,是
9874523,CNHEY,120000,400000,是
9874523,CNSWE,120000,350000,是
9874523,CNLZB,120000,500000,是
9874523,CNGZP,120000,550000,是
9874523,KRINC,120000,400000,是
9874523,KRBUS,120000,500000,是
9874523,MYTPP,120000,450000,是
9874523,THLCH,120000,400000,是
9874523,VNSGN,120000,350000,是
9874523,IDJKT,120000,400000,是
9874523,PHMNL,120000,350000,是
9874523,INMUM,120000,450000,是
9874523,INCHN,120000,300000,是
9874523,AEJEA,120000,500000,是
9874523,ESBCN,120000,350000,是
9874523,GBFXT,120000,400000,是
9874523,BEANR,120000,500000,是
9874523,FRMRS,120000,350000,是
9874523,ITNAP,120000,300000,是
9874523,USORF,120000,350000,是
9874523,USHOU,120000,500000,是
9874523,CAVAN,120000,350000,是
9874523,MXVER,120000,300000,是
9874523,BRSSZ,120000,400000,是
9874523,CLVAP,120000,350000,是
9874523,ZADUR,120000,400000,是
9763258,CNSHA,150000,500000,是
9763258,HKHKG,150000,400000,是
9763258,JPYOK,150000,350000,是
9763258,NLRTM,150000,600000,是
9763258,USNYC,150000,450000,是
9763258,CNNGB,150000,500000,是
9763258,SGSIN,150000,650000,是
9763258,DEHAM,150000,350000,是
9763258,AUMEL,150000,300000,是
9763258,FRLHR,150000,350000,是
9763258,CNTAO,150000,500000,是
9763258,ITGOA,150000,400000,是
9763258,USLGB,150000,450000,是
9763258,JPUKB,150000,350000,是
9763258,CNXMN,150000,400000,是
9763258,AUBNE,150000,300000,是
9763258,CNFOC,150000,350000,是
9763258,USSEA,150000,300000,是
9763258,CNQHD,150000,400000,是
9763258,CNDLC,150000,500000,是
9763258,CNLYG,150000,350000,是
9763258,CNBHY,150000,300000,是
9763258,CNZOS,150000,400000,是
9763258,CNTSN,150000,500000,是
9763258,CNHUI,150000,350000,是
9763258,CNZHA,150000,300000,是
9763258,CNZUH,150000,400000,是
9763258,CNJYG,150000,350000,是
9763258,CNMMI,150000,300000,是
9763258,CNCHA,150000,400000,是
9763258,CNSTG,150000,350000,是
9763258,CNYJI,150000,300000,是
9763258,CNQYI,150000,400000,是
9763258,CNSHA,150000,350000,是
9763258,CNMEZ,150000,300000,是
9763258,CNHEY,150000,400000,是
9763258,CNSWE,150000,350000,是
9763258,CNLZB,150000,500000,是
9763258,CNGZP,150000,550000,是
9763258,KRINC,150000,400000,是
9763258,KRBUS,150000,500000,是
9763258,MYTPP,150000,450000,是
9763258,THLCH,150000,400000,是
9763258,VNSGN,150000,350000,是
9763258,IDJKT,150000,400000,是
9763258,PHMNL,150000,350000,是
9763258,INMUM,150000,450000,是
9763258,INCHN,150000,300000,是
9763258,AEJEA,150000,500000,是
9763258,ESBCN,150000,350000,是
9763258,GBFXT,150000,400000,是
9763258,BEANR,150000,500000,是
9763258,FRMRS,150000,350000,是
9763258,ITNAP,150000,300000,是
9763258,USORF,150000,350000,是
9763258,USHOU,150000,500000,是
9763258,CAVAN,150000,350000,是
9763258,MXVER,150000,300000,是
9763258,BRSSZ,150000,400000,是
9763258,CLVAP,150000,350000,是
9763258,ZADUR,150000,400000,是
9841256,CNSHA,312000,500000,是
9841256,HKHKG,312000,400000,是
9841256,JPYOK,312000,350000,是
9841256,NLRTM,312000,600000,是
9841256,USNYC,312000,450000,是
9841256,CNNGB,312000,500000,是
9841256,SGSIN,312000,650000,是
9841256,DEHAM,312000,350000,是
9841256,AUMEL,312000,300000,否
9841256,FRLHR,312000,350000,是
9841256,CNTAO,312000,500000,是
9841256,ITGOA,312000,400000,是
9841256,USLGB,312000,450000,是
9841256,JPUKB,312000,350000,是
9841256,CNXMN,312000,400000,是
9841256,AUBNE,312000,300000,否
9841256,CNFOC,312000,350000,是
9841256,USSEA,312000,300000,否
9841256,CNQHD,312000,400000,是
9841256,CNDLC,312000,500000,是
9841256,CNLYG,312000,350000,是
9841256,CNBHY,312000,300000,否
9841256,CNZOS,312000,400000,是
9841256,CNTSN,312000,500000,是
9841256,CNHUI,312000,350000,是
9841256,CNZHA,312000,300000,否
9841256,CNZUH,312000,400000,是
9841256,CNJYG,312000,350000,是
9841256,CNMMI,312000,300000,否
9841256,CNCHA,312000,400000,是
9841256,CNSTG,312000,350000,是
9841256,CNYJI,312000,300000,否
9841256,CNQYI,312000,400000,是
9841256,CNSHA,312000,350000,是
9841256,CNMEZ,312000,300000,否
9841256,CNHEY,312000,400000,是
9841256,CNSWE,312000,350000,是
9841256,CNLZB,312000,500000,是
9841256,CNGZP,312000,550000,是
9841256,KRINC,312000,400000,是
9841256,KRBUS,312000,500000,是
9841256,MYTPP,312000,450000,是
9841256,THLCH,312000,400000,是
9841256,VNSGN,312000,350000,是
9841256,IDJKT,312000,400000,是
9841256,PHMNL,312000,350000,是
9841256,INMUM,312000,450000,是
9841256,INCHN,312000,300000,否
9841256,AEJEA,312000,500000,是
9841256,ESBCN,312000,350000,是
9841256,GBFXT,312000,400000,是
9841256,BEANR,312000,500000,是
9841256,FRMRS,312000,350000,是
9841256,ITNAP,312000,300000,否
9841256,USORF,312000,350000,是
9841256,USHOU,312000,500000,是
9841256,CAVAN,312000,350000,是
9841256,MXVER,312000,300000,否
9841256,BRSSZ,312000,400000,是
9841256,CLVAP,312000,350000,是
9841256,ZADUR,312000,400000,是
9736985,CNSHA,168000,500000,是
9736985,HKHKG,168000,400000,是
9736985,JPYOK,168000,350000,是
9736985,NLRTM,168000,600000,是
9736985,USNYC,168000,450000,是
9736985,CNNGB,168000,500000,是
9736985,SGSIN,168000,650000,是
9736985,DEHAM,168000,350000,是
9736985,AUMEL,168000,300000,是
9736985,FRLHR,168000,350000,是
9736985,CNTAO,168000,500000,是
9736985,ITGOA,168000,400000,是
9736985,USLGB,168000,450000,是
9736985,JPUKB,168000,350000,是
9736985,CNXMN,168000,400000,是
9736985,AUBNE,168000,300000,是
9736985,CNFOC,168000,350000,是
9736985,USSEA,168000,300000,是
9736985,CNQHD,168000,400000,是
9736985,CNDLC,168000,500000,是
9736985,CNLYG,168000,350000,是
9736985,CNBHY,168000,300000,是
9736985,CNZOS,168000,400000,是
9736985,CNTSN,168000,500000,是
9736985,CNHUI,168000,350000,是
9736985,CNZHA,168000,300000,是
9736985,CNZUH,168000,400000,是
9736985,CNJYG,168000,350000,是
9736985,CNMMI,168000,300000,是
9736985,CNCHA,168000,400000,是
9736985,CNSTG,168000,350000,是
9736985,CNYJI,168000,300000,是
9736985,CNQYI,168000,400000,是
9736985,CNSHA,168000,350000,是
9736985,CNMEZ,168000,300000,是
9736985,CNHEY,168000,400000,是
9736985,CNSWE,168000,350000,是
9736985,CNLZB,168000,500000,是
9736985,CNGZP,168000,550000,是
9736985,KRINC,168000,400000,是
9736985,KRBUS,168000,500000,是
9736985,MYTPP,168000,450000,是
9736985,THLCH,168000,400000,是
9736985,VNSGN,168000,350000,是
9736985,IDJKT,168000,400000,是
9736985,PHMNL,168000,350000,是
9736985,INMUM,168000,450000,是
